,V_CODE2011,water,nightlights,totalArea,urban,20urban
,244242,3708112.95,4348667.868,1.67E+07,233742.6498,4674852.997
,244683,0,4322429.972,622711.8638,0,0
,244394,0,4318322.359,3620147.266,110122.6609,2202453.219
,244659,3242.051758,4293833.353,9233022.33,0,0
,244415,0,4200179.282,1279409.77,0,0
,244529,0,4194292.293,691704.0283,0,0
,244941,0,4192855.082,1247297.62,0,0
,244837,0,4189930.544,2459659.787,0,0
,244905,6488.39032,4077103.083,2587920.406,0,0
,245109,0,4073670.38,590199.002,0,0
,244413,0,3971414.44,698317.0496,0,0
,244588,0,3971390.085,252337.5361,0,0
,244959,7917.652487,3793485.349,1130675.262,0,0
,244825,0,3764924.406,986319.8466,0,0
,245050,47586.1169,3758165.762,941650.2234,0,0
,244746,37588.87979,3735159.689,3974831.278,0,0
,244590,0,3700318.606,549336.6625,0,0
,245151,1471.371229,3651517.963,700729.1421,0,0
,244684,4866.642883,3619569.498,518986.4238,0,0
,244885,32438.98407,3498463.519,2593395.929,0,0
,244951,0,3472368.461,1126088.484,0,0
,244719,0,3463239.031,1517107.193,0,0
,244872,0,3435597.744,2950529.914,0,0
,244430,0,3430966.784,122835.3766,0,0
,244691,0,3350420.881,209925.4327,209331.2622,4186625.244
,245061,2435.923828,3318587.551,2256041.959,0,0
,244264,5932.15074,3312669.927,3508352.271,0,0
,244388,0,3301436.222,798130.8384,0,0
,244525,0,3291376.019,683670.5342,77858.03515,1557160.703
,244344,0,3261048.511,1345537.314,0,0
,244942,0,3232720.045,699880.5693,0,0
,244574,0,3214025.63,1488453.523,0,0
,245132,0,3137697.608,555404.7203,0,0
,244824,0,3137574,762931.5322,40822.35511,816447.1022
,244214,12.69688745,3128812.486,1940940.737,0,0
,244382,810.2705078,3035278.508,4602331.796,0,0
,245149,0,3025120.062,433053.2778,0,0
,245138,0,3023118.071,432898.7162,0,0
,245159,812.1675415,3006805.525,1081063.704,230437.2519,4608745.039
,244410,0,2996329.206,492917.8345,0,0
,245158,0,2974098.821,528334.843,0,0
,244417,0,2971472.943,4776463.545,0,0
,245048,1623.920166,2969973.904,649137.9247,0,0
,245141,0,2955245.143,486996.4566,0,0
,244677,11841.89687,2900035.7,3056325.525,119253.9828,2385079.657
,245089,0,2896775.328,487670.1792,0,0
,244628,0,2842961.612,385868.7521,0,0
,244862,0,2838106.809,1081111.383,0,0
,244265,377.8774979,2811210.49,1160963.502,0,0
,244502,3242.972839,2801680.001,1621731.853,0,0
,244976,0,2766447.997,2962135.641,0,0
,244992,112708.9687,2758120.761,2969212.13,0,0
,244644,5672.337341,2716645.124,2743904.598,0,0
,244360,0,2673196.697,535814.032,0,0
,244956,0,2615600.888,694076.3875,0,0
,244726,0,2612298.816,1160199.856,0,0
,244903,0,2594671.236,542059.1229,0,0
,244297,4859.787964,2580644.161,6405569.741,0,0
,244355,0,2567418.379,514560.5575,0,0
,244844,0,2525162.948,591976.1811,0,0
,244902,0,2513674.176,504144.5158,0,0
,244841,0,2504971.204,1670079.129,0,0
,244655,0,2492136.608,499570.2403,28244.65751,564893.1501
,245157,6496.808777,2489236.492,587547.7308,0,0
,245073,0,2452670.484,460983.3923,0,0
,245148,0,2402354.134,356923.268,0,0
,244945,0,2341670.266,1353330.434,0,0
,244168,0,2331547.56,970860.919,0,0
,245049,27379.1708,2263337.91,2370826.417,0,0
,244257,0,2256856.909,947909.2189,0,0
,244827,76996.49274,2228086.034,2873974.737,0,0
,244820,0,2209415.24,492207.1372,4180.854312,83617.08625
,244930,0,2176856.294,733274.4318,0,0
,244952,0,2112851.476,619308.5618,0,0
,244247,5527.724351,2024238.981,338122.7277,0,0
,244530,0,1987875.938,2067336.383,0,0
,244258,3363.785368,1933937.793,1568080.785,0,0
,244834,1621.68573,1930201.78,523710.6609,0,0
,244928,0,1912669.369,4430837.472,0,0
,244246,3378.207473,1722355.697,306968.0161,0,0
,244627,0,1703121.56,284606.7451,0,0
,244818,127800.5188,1675809.964,2127422.359,0,0
,244640,0,1670114.91,334837.6565,204969.1779,4099383.557
,244524,8918.181885,1629914.4,3095730.23,0,0
,244348,0,1615240.113,2391532.899,0,0
,244793,12693.91689,1599617.793,2855443.756,0,0
,244578,0,1590494.882,111369.1585,0,0
,244835,0,1583440.858,1858331.336,0,0
,245154,3248.617798,1546474.497,560298.6,0,0
,244996,0,1507666.252,1263885.465,0,0
,244975,3246.684814,1499753.633,4207588.612,3853.183676,77063.67352
,245176,10817.62561,1450213.845,1744140.524,0,0
,244723,0,1440660.347,2515222.786,0,0
,244737,16186.87995,1389026.214,1.14E+07,0,0
,244735,25.43266889,1343311.29,2274717.794,0,0
,245133,0,1333340.523,256885.9906,0,0
,244594,0,1249595.951,209773.2748,0,0
,245060,54394.57489,1223214.117,3334737.731,0,0
,244416,0,1217674.448,304260.9546,0,0
,244356,0,1196522.087,1070171.221,0,0
,244601,1771.290407,1160291.952,2501160.105,0,0
,244266,2429.110901,1136682.993,490674.8283,0,0
,245153,0,1132604.374,227099.309,0,0
,244693,0,1085526.115,78291.55172,78108.3218,1562166.436
,244892,0,1076424.255,439058.8817,0,0
,245084,0,1075800.623,109789.4901,0,0
,244722,0,1075594.204,2871500.462,0,0
,244694,0,1055477.596,211681.4049,175713.4458,3514268.917
,244701,2430.385193,1033618.62,823415.9096,0,0
,244657,0,1028484.994,205991.3984,6216.731268,124334.6254
,244412,0,960863.4423,172836.9346,0,0
,245017,1623.106445,959661.4301,7185685.798,0,0
,244351,0,958072.599,430733.6432,0,0
,244670,29993.94281,925878.7374,1986381.308,0,0
,244813,5673.555176,908234.41,2795521.721,403987.9749,8079759.499
,245175,0,885938.9536,2741807.712,0,0
,244645,0,856469.8539,187558.3838,0,0
,244666,0,843152.1301,2388121.773,0,0
,244904,0,793271.9318,357751.1497,0,0
,245009,0,776604.6691,2723252.132,0,0
,244804,0,761969.5055,1758213.353,0,0
,244673,0,689465.9469,1751675.071,0,0
,244180,809.9708252,680778.4749,2425801.12,0,0
,244720,8052.709417,517482.0693,1858908.14,0,0
,244721,0,505390.0941,814571.9301,0,0
,244267,10087.5056,468672.0825,478244.9068,0,0
,245160,0,457618.5085,740154.4548,47075.72799,941514.5599
,244340,684663.7801,440709.2851,2635557.362,0,0
,244798,0,425022.0705,208048.4267,0,0
,244725,0,386978.5141,1567374.086,0,0
,244527,810.8297119,383589.5374,730025.6311,0,0
,244170,2429.269836,381599.0571,3979778.516,28410.93041,568218.6082
,244124,0,366467.6991,1015468.834,0,0
,245152,0,351228.9743,313984.4966,0,0
,244954,18664.10022,339644.6668,1973690.314,0,0
,244770,0,335956.9692,717418.2736,0,0
,244893,11353.01447,328703.4313,2264366.932,0,0
,244363,810.1577759,326831.2248,1190947.541,0,0
,244771,0,276935.8967,4297026.885,0,0
,244826,0,271508.6452,956894.7688,0,0
,244499,621877.7232,267811.1477,4859775.573,350251.1658,7005023.316
,244273,7288.998108,262960.3437,6669645.031,0,0
,244803,1620.759399,224934.399,6127929.686,0,0
,244163,0,224811.386,947045.0649,0,0
,244794,0,220080.2229,561537.9557,0,0
,244215,0,205169.5226,1317587.072,0,0
,244333,0,171465.154,4268023.716,0,0
,244263,14509.09894,169124.3301,965231.335,0,0
,244389,72108.79346,158335.3592,3047161.722,1736.469274,34729.38549
,244738,3242.194336,148853.8114,5457371.787,0,0
,245047,4286.360034,139854.1128,614539.9223,0,0
,244269,9709.984122,129289.3131,767091.1488,0,0
,244781,216236.8648,123349.3959,2761831.05,0,0
,244906,0,123174.279,405161.122,0,0
,244641,0,102411.5983,1616741.511,0,0
,244362,0,55036.29945,1363077.78,0,0
,244130,0,50075.94407,1080431.713,0,0
,244989,262531.4488,46606.72422,6366360.022,0,0
,245012,0,43960.5344,2333479.136,0,0
,244697,0,39483.56202,2175241.778,0,0
,244776,0,26621.97291,920882.3732,0,0
,244864,0,23925.03004,1438731.068,0,0
,244650,0,23484.97095,739140.7702,0,0
,244923,0,19441.80415,1606045.567,0,0
,244350,8617.405314,13801.60829,1030653.52,0,0
,245155,0,7070.533045,519654.0052,0,0
,244871,810.9718628,6822.208226,862113.5336,0,0
,244875,0,4537.832421,1369089.512,0,0
,244733,0,1128.731739,759269.0064,0,0
,244814,0,839.1985179,933678.6924,0,0
,244294,59191.74493,0,1.23E+07,0,0
,244980,105167.0594,0,1.40E+07,0,0
,245166,0,0,6123904.314,0,0
,245165,19477.15887,0,5123579.357,0,0
,244535,238.4782858,0,5774204.365,0,0
,244539,7299.267456,0,6763827.86,0,0
,244548,0,0,4846230.235,0,0
,244557,26113.72987,0,5732508.401,0,0
,244556,27955.51166,0,4182807.183,0,0
,244508,15403.1734,0,8613644.67,0,0
,244511,175883.1385,0,4012677.548,0,0
,244463,15948.45081,0,4173309.47,0,0
,244378,810.2423096,0,4620942.67,0,0
,244291,38886.18842,0,4438445.073,0,0
,244438,52491.32347,0,4261123.698,0,0
,244451,78002.69179,0,2573533.428,0,0
,244477,2086652.113,0,1.15E+07,0,0
,244478,901413.5865,0,9100738.711,0,0
,244456,276687.6823,0,1.08E+07,0,0
,244461,0,0,5465335.237,0,0
,244514,268757.8473,0,4205163.072,0,0
,244512,101.7289139,0,3726548.264,0,0
,244485,390.8743334,0,5125862.826,0,0
,244475,533027.4609,0,3407048.224,0,0
,244491,0,0,2621893.038,0,0
,244225,2218699.359,0,1.85E+07,0,0
,244240,1980523.162,0,6583671.381,0,0
,244271,512868.4226,0,3155910.132,0,0
,244371,101743.7514,0,5116779.171,0,0
,244635,1620.414185,0,3270106.298,0,0
,244336,45499.4222,0,3553794.119,0,0
,244326,142800.2368,0,3104408.385,0,0
,244318,25085.67016,0,4531977.118,0,0
,244234,35858.87128,0,6637329.895,0,0
,244232,22864.76977,0,3073813.641,0,0
,244303,0,0,3734873.938,0,0
,244302,835.0281142,0,2958387.337,0,0
,244212,3239.230347,0,3122734.556,0,0
,244211,0,0,2873268.041,0,0
,244698,0,0,5221908.921,0,0
,244717,3241.119019,0,3027098.113,0,0
,244699,0,0,2915568.107,0,0
,244729,89481.42113,0,5828479.927,0,0
,244802,19449.15991,0,7544732.196,0,0
,244713,4859.890259,0,4667976.642,0,0
,244751,4860.265991,0,3944752.336,0,0
,244189,44214.26682,0,5122754.155,0,0
,244750,0,0,2595751.869,0,0
,244198,98756.31629,0,3191023.474,0,0
,244220,818660.511,0,3125326.698,0,0
,244852,810.6364746,0,2966049.396,0,0
,244808,9267.071711,0,4480591.411,0,0
,244123,6082.839911,0,2340196.581,0,0
,244127,42489.4176,0,4325205.239,0,0
,244142,130152.0519,0,2049356.058,0,0
,244152,1619.544495,0,3392521.115,0,0
,244759,3240.105591,0,4808381.551,0,0
,244792,8102.247131,0,3482373.096,0,0
,244779,2430.904907,0,6602951.583,0,0
,244846,44035.46342,0,4735830.052,0,0
,244890,0,0,2953397.728,0,0
,244953,0,0,2562412.951,0,0
,244984,811.9130249,0,3467130.703,0,0
,245046,273810.9502,0,6458295.248,0,0
,245062,121968.4672,0,7154574.18,0,0
,245066,72249.57025,0,5678880.66,0,0
,245052,18056.66363,0,5636598.27,0,0
,244972,12174.96582,0,2382979.398,0,0
,244968,4058.094788,0,4949817.847,0,0
,244965,40572.17926,0,2496664.944,0,0
,244919,16542.58565,0,4263157.431,0,0
,244915,319630.609,0,7188309.093,0,0
,244911,11356.71393,0,3640220.017,0,0
