system:index,m_bu,m_nl,s_bu,s_nl,v_code_2011,.geo
9830,0.023384782221046015,0.01628849307698271,113.65490196078431,79.16546180563813,216831,
9802,0.008488289441212245,0.0035768613384700707,22.52549019607843,9.491966028073255,216961,
9804,0.0038076583140243194,0.0011213047372922655,6.250980392156863,1.8408305967555327,216960,
9852,0.0067068389728315615,0.003771631342850381,44.64705882352941,25.107542779398898,216934,
9910,0.035337975206824704,0.022248122760515264,188.06274509803922,118.40075768723207,216877,
9895,0.05343622300801992,0.03136609351005959,82.25490196078431,48.28213525075538,216937,
9870,0.02946353388415826,0.021919738452112914,211.17647058823528,157.10718954263947,216923,
9594,4.548677538897884E-4,8.678248248001468E-5,2.0,0.3815723657608032,216915,
9624,0.023708489561427844,0.013029748662334735,155.84705882352938,85.65066960395552,216933,
9758,4.2060814990144574E-4,7.502127108170392E-5,2.0,0.35672761499881744,217013,
9468,6.854559683822375E-4,1.1497984485121179E-4,7.0,1.1741949170827866,217032,
9471,0.002122134813232443,3.8161760795416E-4,17.749019607843138,3.1917568874709747,217023,
9517,0.0014139683144157775,2.1876594375561342E-4,9.435294117647059,1.4598071266623105,217017,
9727,0.027018484021212208,0.004324020668349169,239.0,38.249405071139336,217016,
9569,6.838973027626745E-4,1.0718410020454968E-4,10.0,1.5672543197870255,217010,
9541,0.0023430827284594874,3.668324858298306E-4,25.733333333333334,4.028804668608834,217009,
9743,0.01854567545336761,0.0033330000607506775,121.75294117647059,21.881249963535982,217007,
10677,0.0376657951173461,0.008132559333101329,453.1294117647058,97.83682556730857,217006,
9729,0.06643519015833718,0.013028939002657348,157.64705882352945,30.91695693900772,216986,
9548,0.06621959756152936,0.01343677582772426,749.0,151.9813690443249,216985,
9622,0.012694323768710195,0.002084903228666561,71.0,11.66097004711628,217002,
9631,0.011124883638734987,0.005180316644938775,87.63921568627453,40.80931563079357,216911,
9917,0.02464046973075817,0.010408381752444091,144.03137254901958,60.84029753488652,216908,
9645,0.005225716218617664,9.547885741889655E-4,40.015686274509804,7.311250447759441,216981,
9854,0.0016522214279080715,2.7617029555504095E-4,9.0,1.5043580830097198,216980,
9466,0.0509600998434364,0.01296069154448282,322.17254901960786,84.60851257969351,216990,
9406,0.057723955407981836,0.0161491659411624,506.6078431372549,145.09626618740606,216991,
9386,0.02534846960084696,0.0060125799319351025,416.74901960784325,98.8516005662142,217026,
9388,0.0037438099709540575,0.001263318812885363,40.90196078431373,13.802040419683735,217027,
9393,0.0021194199646243895,3.5090355458475823E-4,16.0,2.6490534991025925,217029,
9425,0.012047301106993582,0.002373847745331555,123.84313725490196,24.402540414356718,217037,
10679,0.010155103043705274,0.0013089345290152815,32.41568627450981,16.716459333896637,217038,
7098,7.160748402202299E-4,4.556221326883149E-4,1.8901960784313725,1.2026887694994608,230292,
7117,3.6210300907600423E-4,1.386481736775199E-4,4.0,1.5315881967544556,230278,
